date_time,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
2011/9/1,4.402,4.658,450,5.978,1.204,5.185,4.632,239,1.782,7.086,5,128,53,0,133,1.108,1.295,243,2.259,108
2011/10/1,1.484,1.591,102,1.206,97,3.141,2.404,415,822,2.166,23,304,65,5,0,188,694,461,476,38
2011/11/1,825,144,79,153,74,3.043,2.261,1.561,245,176,23,282,121,4,1,87,399,352,59,6
2011/12/1,362,105,24,43,4,3.218,1.629,1.441,37,230,50,360,249,36,0,53,121,364,39,1
2012/1/1,80,12,14,75,0,392,326,273,2,179,36,30,217,39,0,38,6,146,21,1
2012/2/1,31,45,13,123,0,63,46,41,9,200,41,5,130,34,0,81,25,64,37,25
2012/3/1,71,80,65,152,1,30,49,10,6,404,44,1,99,71,0,99,17,44,57,35
2012/4/1,119,226,40,180,1,11,97,2,12,396,18,2,25,40,4,82,3,46,89,74
2012/5/1,334,467,60,144,3,59,286,19,22,326,21,2,18,17,0,82,12,36,103,20
2012/6/1,834,922,42,219,7,183,915,28,32,385,4,7,22,3,6,30,45,12,245,15
2012/7/1,1.755,1.693,42,669,71,661,3.548,50,205,906,0,3,2,1,29,179,234,11,564,35
2012/8/1,3.614,4.28,398,901,739,6.964,10.395,278,2.209,1.835,0,19,4,0,55,435,3.011,27,912,12
2012/9/1,4.479,7.46,188,3.219,1.996,6.87,7.626,609,2.471,7.495,6,168,67,1,64,813,2.392,192,2.452,48
2012/10/1,2.506,3.68,34,3.97,348,3.714,5,1.104,1.229,4.607,28,475,152,1,15,206,1.238,222,1.524,62
2012/11/1,447,179,72,220,13,6.156,2.01,995,174,168,95,969,187,6,0,50,682,181,57,7
2012/12/1,334,128,32,189,1,1.812,1.296,631,50,477,59,422,78,18,0,64,80,108,93,18
2013/1/1,72,50,18,75,0,167,209,103,7,125,49,3,397,34,0,36,37,55,33,10
2013/2/1,68,37,12,143,0,30,62,49,8,231,19,0,62,47,1,100,16,29,86,15
2013/3/1,14,60,14,110,2,19,30,17,23,363,31,0,179,67,1,57,49,40,79,13
2013/4/1,34,130,46,61,19,20,62,4,9,108,25,2,87,15,1,103,20,11,42,16
2013/5/1,40,373,52,150,4,42,100,4,9,141,2,0,4,1,2,118,19,9,150,14
2013/6/1,263,873,31,144,8,173,498,5,22,208,1,1,6,1,4,47,56,12,192,22
2013/7/1,361,1.393,69,462,54,447,1.111,4,117,362,0,1,4,0,22,181,248,4,350,20
2013/8/1,1.015,1.81,236,911,679,2.161,2.098,32,885,610,0,9,3,0,34,497,1.276,14,488,53
2013/9/1,2.311,2.445,303,1.656,2.136,3.36,3.88,177,1.776,2.681,4,85,18,1,31,560,1.739,143,684,30
2013/10/1,1.269,2.155,107,1.221,258,4.921,2.918,466,555,1.969,25,385,63,3,3,127,1.202,161,606,37
2013/11/1,640,345,84,277,79,3.688,2.529,1.081,108,288,10,341,106,7,0,120,220,110,183,11
2013/12/1,468,85,74,98,3,5.514,2.692,956,143,131,42,148,65,9,2,109,236,141,86,9
2014/1/1,79,89,58,133,0,251,195,115,12,132,54,10,355,20,0,99,46,99,80,11
2014/2/1,14,73,27,157,0,37,29,18,5,107,29,2,226,18,1,112,49,25,44,17
2014/3/1,88,58,15,77,1,34,59,6,13,148,28,1,494,33,1,75,50,36,80,15
2014/4/1,63,187,34,161,7,27,78,4,15,183,16,0,162,7,2,103,25,10,138,15
2014/5/1,138,618,42,224,1,70,148,4,28,224,1,0,58,1,9,181,12,4,210,18
2014/6/1,373,1.372,3,376,17,319,812,19,92,243,2,0,4,0,6,331,74,3,318,9
2014/7/1,1.177,1.404,82,559,60,825,2.068,47,192,249,1,4,9,0,27,476,202,11,446,17
2014/8/1,2.265,2.917,459,1.952,1.1,8.555,5.592,155,3.038,674,3,18,12,0,99,1.458,3.852,23,1.255,47
2014/9/1,2.536,3.52,208,3.454,2.175,6.787,4.373,155,2.8,2.604,11,137,67,4,72,882,3.057,63,1.687,61
2014/10/1,1.788,4,122,4.735,406,6.448,5.812,517,1.063,2.763,7,480,61,3,34,887,952,174,1.947,89
2014/11/1,717,451,43,398,56,7.767,3.869,829,202,348,14,484,143,9,0,56,676,111,181,20
2014/12/1,346,223,45,155,6,4.828,2.4,643,144,144,24,354,277,9,0,57,293,101,68,28
2015/1/1,92,186,28,147,1,725,494,207,30,256,81,14,330,44,1,120,35,109,118,76
